Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
2064389, 0.01, 0.00, 0.99, 0.37, -0.31, 0.06, -12.00, -19.00, 32.00
2064906, 0.01, 0.01, 0.99, 0.31, -0.24, 0.06, -12.00, -21.00, 32.00
2065423, 0.01, 0.00, 0.99, 0.24, -0.31, 0.12, -14.00, -22.00, 36.00
2065939, 0.01, 0.01, 0.99, 0.37, -0.31, 0.06, -11.00, -23.00, 34.00
2066456, 0.00, 0.01, 0.99, 0.37, -0.31, 0.06, -11.00, -20.00, 35.00
2066972, 0.00, 0.01, 0.99, 0.24, -0.31, 0.06, -12.00, -20.00, 36.00
2067488, 0.00, 0.00, 0.99, 0.31, -0.24, 0.12, -10.00, -22.00, 35.00
2068004, 0.01, 0.01, 0.99, 0.31, -0.24, 0.06, -13.00, -21.00, 33.00
2068520, 0.00, 0.01, 0.99, 0.31, -0.31, 0.06, -14.00, -23.00, 35.00
2069037, 0.00, 0.01, 0.99, 0.31, -0.24, 0.12, -12.00, -21.00, 37.00
2069553, 0.00, 0.00, 0.99, 0.31, -0.31, 0.06, -13.00, -21.00, 31.00
2070070, 0.01, 0.00, 0.99, 0.31, -0.31, 0.06, -12.00, -19.00, 40.00
2070587, 0.01, 0.00, 0.99, 0.37, -0.31, 0.00, -13.00, -21.00, 35.00
2071104, 0.01, 0.00, 0.99, 0.31, -0.31, 0.06, -13.00, -22.00, 34.00
2071620, 0.00, 0.01, 0.99, 0.31, -0.24, 0.06, -12.00, -24.00, 32.00
2072137, 0.01, 0.01, 0.99, 0.37, -0.24, 0.06, -10.00, -21.00, 37.00
2072653, 0.01, 0.00, 0.99, 0.31, -0.31, 0.06, -11.00, -20.00, 37.00
2073169, 0.01, 0.01, 0.99, 0.37, -0.24, 0.12, -11.00, -20.00, 38.00
2073685, 0.01, 0.01, 0.99, 0.31, -0.31, 0.12, -10.00, -20.00, 34.00
2074202, 0.01, 0.01, 0.99, 0.31, -0.31, 0.12, -12.00, -23.00, 30.00
