Timestamp, LinearX, LinearY, LinearZ, AngularX, AngularY, AngularZ, MagnetX, MagnetY, MagnetZ
0, -0.0018310546875, 0.00830078125, 0.9931640625, 0.2441406100988388, -0.2441406100988388, 0.0610351525247097, 0.0, 16.0, 35.0
26, -0.0023193359375, 0.0072021484375, 0.9906005859375, 0.4882812201976776, -0.2441406100988388, 0.0610351525247097, 1.0, 15.0, 32.0
44, -0.0035400390625, 0.01025390625, 0.9908447265625, 0.3662109076976776, -0.2441406100988388, 0.1220703050494194, 1.0, 15.0, 32.0
66, -0.00244140625, 0.011962890625, 0.99169921875, 0.3662109076976776, -0.30517578125, 0.1831054538488388, 1.0, 15.0, 32.0
88, -0.001220703125, 0.009765625, 0.990234375, 0.3662109076976776, -0.2441406100988388, 0.1220703050494194, 1.0, 15.0, 32.0
106, 0.000732421875, 0.0087890625, 0.9915771484375, 0.30517578125, -0.1831054538488388, 0.1220703050494194, 1.0, 15.0, 32.0
124, 0.000244140625, 0.01123046875, 0.9921875, 0.30517578125, -0.2441406100988388, 0.0610351525247097, -1.0, 16.0, 32.0
149, -0.0029296875, 0.0115966796875, 0.99169921875, 0.3662109076976776, -0.2441406100988388, 0.1220703050494194, -1.0, 16.0, 32.0
167, -0.00341796875, 0.0089111328125, 0.991455078125, 0.3662109076976776, -0.2441406100988388, 0.1831054538488388, -1.0, 16.0, 32.0
193, -0.0028076171875, 0.0074462890625, 0.9910888671875, 0.4272460639476776, -0.1831054538488388, 0.1220703050494194, -1.0, 16.0, 32.0
210, -0.0030517578125, 0.0096435546875, 0.9920654296875, 0.3662109076976776, -0.2441406100988388, 0.0610351525247097, -1.0, 16.0, 32.0
228, -0.00244140625, 0.011962890625, 0.991455078125, 0.3662109076976776, -0.2441406100988388, 0.0610351525247097, 0.0, 16.0, 33.0
247, -0.000244140625, 0.0111083984375, 0.9910888671875, 0.3662109076976776, -0.1831054538488388, 0.1220703050494194, 0.0, 16.0, 33.0
263, -0.0001220703125, 0.01123046875, 0.9910888671875, 0.3662109076976776, -0.1831054538488388, 0.1220703050494194, 0.0, 16.0, 33.0
285, -0.000732421875, 0.010498046875, 0.9921875, 0.3662109076976776, -0.1831054538488388, 0.0610351525247097, 0.0, 16.0, 33.0
303, -0.00146484375, 0.010009765625, 0.99169921875, 0.3662109076976776, -0.1831054538488388, 0.0610351525247097, 0.0, 16.0, 33.0
321, -0.0035400390625, 0.01025390625, 0.989990234375, 0.3662109076976776, -0.1831054538488388, 0.0610351525247097, 1.0, 19.0, 36.0
343, -0.0020751953125, 0.0093994140625, 0.9906005859375, 0.3662109076976776, -0.1220703050494194, 0.0610351525247097, 1.0, 19.0, 36.0
361, -0.0008544921875, 0.008544921875, 0.9930419921875, 0.3662109076976776, -0.1831054538488388, 0.0610351525247097, 1.0, 19.0, 36.0
380, 0.000244140625, 0.0076904296875, 0.99072265625, 0.3662109076976776, -0.2441406100988388, 0.1220703050494194, 1.0, 19.0, 36.0
395, -0.0006103515625, 0.010498046875, 0.9923095703125, 0.30517578125, -0.2441406100988388, 0.1220703050494194, 1.0, 19.0, 36.0
413, -0.0009765625, 0.0111083984375, 0.9930419921875, 0.4272460639476776, -0.1831054538488388, 0.1220703050494194, 1.0, 19.0, 36.0
435, -0.003173828125, 0.0123291015625, 0.99072265625, 0.3662109076976776, -0.2441406100988388, 0.1831054538488388, 0.0, 17.0, 35.0
453, -0.003662109375, 0.009765625, 0.989990234375, 0.3662109076976776, -0.1831054538488388, 0.0610351525247097, 0.0, 17.0, 35.0
471, -0.0040283203125, 0.00830078125, 0.99169921875, 0.3662109076976776, -0.1220703050494194, 0.0610351525247097, 0.0, 17.0, 35.0
